Name,Rating,No. Reviews,Description,What's Included,Cancellation Policy,Additional Info,What to Know,Location,Duration,Departure Point,Itinerary,Ticket,Images,URL,FirstAdded,LastUpdated
Experience Jewelry Workshop In Nha Trang City,5,2,"Immerse yourself in the atmosphere of a jewelry workshop, learn the subtleties of jewelry work, unveil your individuality.
As you immerse yourself in the creative process, you'll witness your vision come to life, culminating in the creation of a unique jewelry masterpiece. This personalized creation holds sentimental value, making it a meaningful gift for a loved one or a cherished keepsake for yourself. Whether you aspire to unveil the artisan within or deepen your appreciation for the craft, our Jewelry Masterclass promises an unforgettable experience that transcends the boundaries of conventional learning. Unleash your creativity and craft a tangible expression of beauty that will be treasured for a lifetime.","In the end, you will craft the basic jewelry - a ring with gemstones.
During the workshop you can switch to another masterpiece for the additional payment.
Tools ,Gemstones ,Pearls ,Sterling silver",,"Specialized infant seats are available
Not recommended for travelers with spinal injuries
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Happy Tour",,The masterclass will be in the showroom of Miya Jewellery & Clothes company.,Free cancellation available,"Miya Jewellery & Clothes, Hàng Cá 20, Nha Trang, 650000",,"Type: Adult (age 8-90) | Price: US$10
Type: Child (age 4-7) | Price: US$8
Type: Infant (age 0-3) | Price: US$0","https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618573.jpg?k=49c6ab5a849f1410266a21e22e0f850044d5f0307b693bdb3b94665e2b7639be&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618575.jpg?k=41dfe9c05ce2b46028f4cddfc469dc5c0d0ff1d9a94715123b135a447f11ac6a&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618578.jpg?k=cb66a57de13a947e27188e06d69abe0a61022de7db9cdf677506328db3c04e06&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618587.jpg?k=6a57c34dba9c960205aea93bea0bc3c29c0f2b7a3661c6bf8ff77a324064ac65&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/334618594.jpg?k=b0208f695568db819abc0e960142d1faa4ca590be7e714ae7a46efcc7cb70f96&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618599.jpg?k=011dec7c5d0fd6074f6df461fb80e9b92fe7e49f06a823e2c84ed36824fe326d&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/334618605.jpg?k=05835b97335cf927aed90f49c412e2dfdff1c5e49e929ddff4569b34f91d1e44&o=",https://www.booking.com/attractions/vn/pr6hczajwp5t-experience-jewelry-workshop-in-nha-trang-city.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Nha Trang: Life Puppets show - Đó Theatre Ticket,,,"Life Puppets is a unique stage fusing water, string, shadow, and animated puppetry with dance to convey cultural values in multiple languages.",Bottle water,,"Not recommended for travelers with spinal injuries
Suitable for all physical fitness levels
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Happy Tour",,"DO THEATRE, D_i L_ Ph_m Van D_ng, Vinh H_i, Nha Trang, Khanh H, Vega City, Nha Trang",Free cancellation available,"DO THEATRE, D_i L_ Ph_m Van D_ng, Vinh H_i, Nha Trang, Khanh H, Vega City, Nha Trang","Total Duration: Skip the line

Stop 1: DO THEATRE
Duration: Admission ticket included
Description: Immerse yourself in the enchanting world of ""Life Puppets"" with a ticket to the mesmerizing show at Đó Theatre. This unique performance seamlessly blends various forms of puppetry, including water, string, shadow, and animated, with contemporary dance, creating an unforgettable spectacle that transcends cultural boundaries.

At Đó Theatre, you'll witness a dynamic co-performing stage where puppets come to life in a stunning display of artistry and storytelling. From traditional Vietnamese water puppetry to intricate string manipulation and the evocative shadows cast by delicate figures, each act unfolds with precision and grace.

Step into the theater and prepare to be transported on a journey that communicates multiple cultural values in a language understood by all. Through the universal language of puppetry and dance, ""Life Puppets"" captivates audiences of all ages, offering a truly immersive experience that lingers long after the final curtain falls.
Admission: Admission ticket included",,"https://q-xx.bstatic.com/xdata/images/xphoto/max1200/335923227.jpg?k=8846dea78c6fafeb1885dd1e8d62c283d9c11152b2a3b19f2bc64e637e3b9deb&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/335923247.jpg?k=035e3e922af9d7dba638fe8d403ca5108f1246c304aff1f4ad9461bec65a2d6f&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/335923268.jpg?k=6d4dcdfb9511576dc79aa75b557a12719a07ea97e4c874d7142e2b65430faed1&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/335923292.jpg?k=e0b30b8bfeda5ab7c4cb16f83381263a8ac33c81ff0819f38c2357c44269d667&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/335923315.jpg?k=2e0de64b529bd57511210d1e504306d15f29a18350c60ecf2d65582ac3248406&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/335923349.jpg?k=1c527e73998c6abac726edb41652a5474d0d9215aec0d7fa3956bb7cb3239102&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/335923374.jpg?k=52f7db1a4d48945a1af79ffcfb0e41ae5c6c1e01ce4d061ee3400df448536a0d&o=",https://www.booking.com/attractions/vn/prjchcinrk34-nha-trang-life-puppets-show-do-theatre-ticket.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Coral Reef Snorkeling and Floating Bar Party from Nha Trang,4.7,29,"Explore the beauty of marine life and coral. Enjoy many sea activities: giant water slides, SUP, kayaking and more. Experience floating bar with unlimited cocktail and fruit. Enjoy liveshow music.","Hot pot, seafood, local specialty,... in restautant with chilling city views
Teakbreak enjoy sunset in Boat
sup, kayak, floating bar with cocktails and fruits, Giant floating water slide, music liveshow,...
Use of Snorkelling equipment
Air-conditioned vehicle
All Fees and Taxes
Restroom on board
tea break",,"Infants and small children can ride in a pram or stroller
Service animals allowed
Public transportation options are available nearby
Infants are required to sit on an adult’s lap
Not recommended for travelers with poor cardiovascular health
Suitable for all physical fitness levels
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Tour Yolo exploring sea and island, snorkeling, water sport game, music liveshow From Nha Trang",,We pick up and drop off,Free cancellation available,"Nha Trang, Nha Trang","Total Duration: niallcoffey17

","Type: Adult (age 13-85) | Price: US$27.50
Type: Child (age 5-12) | Price: US$16.85
Type: Infant (age 1-4) | Price: US$0","https://q-xx.bstatic.com/xdata/images/xphoto/max1200/243341968.jpg?k=efdac582240768ebefff46398bd228021cbc630880a6afd227943ba86e21ea8e&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/237819088.jpg?k=d0278946ad34654e3da4e0b55770d2e7b7c09611c841396f0dfdefb720ba3159&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/237819186.jpg?k=608f7871201c3e02d6a54dd89710b23284362c3f71fe31c032333c44d5434cab&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/237819243.jpg?k=6e75d9e5cc1c115df8a48cbcb43f6c23b3050a37b5f5a0b06d8f61fae3c2f068&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/237819261.jpg?k=c646528b0df60c7685b58b88ddfbb37e8ec0723fccd4f01aafe8cf0020e9f445&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/243341972.jpg?k=c8f58417f7eb75eb3052d075ae1d6f9d5dccd9e54abc7664e79fd06642bec80f&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/243341983.jpg?k=da3c3441c5793c9f005304c745174267bae53e2a35611f29789293d3902c2b5a&o=",https://www.booking.com/attractions/vn/prdzagai0l86-coral-reef-snorkeling-and-floating-bar-party-from-nha-trang.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Full-Day Guided 3 Island Tour Included Lunch And Mud Bath,4.5,4,"Join a group tour with 3 stops at Tranh Beach - Fishing Village (for lunch) and Relax at Hon Tam Island Mud Bath Spa Center - The first Mud Bath on an island in Vietnam.
Hot mineral soaking and massage body under the hot mineral waterfall.
Using mineral water systems massage by the jet system.
Using other services of hot mineral springs.","Use of Hot Spring Swimming Pool
Mud Bath
Lunch
Air-conditioned vehicle
All Fees and Taxes",,"Not recommended for pregnant travelers
Suitable for all physical fitness levels
Hotel located in central city
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Nha Trang Day Tours",,,Free cancellation available,,,Type: Adult (age 6-70) | Price: US$39,"https://q-xx.bstatic.com/xdata/images/xphoto/max1200/152003507.jpg?k=7dd359fa72f40498da31c09e697bea47407d4d987509f75dfe060c2c19570c6b&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/152003516.jpg?k=b814fb5e91b114e3bcd66b54f7a73112b5d5e4446c407de19112bea1ccf92be0&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/152003522.jpg?k=c1fdfa434859514bdcbeafcb169323cc3c8a2356e6171c4d1174ffe962751f71&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/152003527.jpg?k=c8b9a018eb5ed0671c89489d74aa299a7180aaa1090676a5146de3c2fcf60daf&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/152003532.jpg?k=3f8aaf65cf91401b623d85114148dfbc09a295c915c1be6f7c78c979d254348e&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/152003538.jpg?k=f9de248169b9b49d8ba7093ec6da611e9ee381b1869f9b263a84c47cb6ed8bff&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/152003543.jpg?k=bf63c97d48e363d01005360aa0670548cba00566631748344aef69987e34a46e&o=",https://www.booking.com/attractions/vn/prqg59xoatjk-full-day-guided-3-island-tour-included-lunch-and-mud-bath.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Nha Trang to Da Lat - Private Transfer,5,2,"-Time tracking Your driver will track your time and wait for you if it's delayed.
- One clear price Your price is confirmed up front – no extra costs, no cash required.
-Tried and true service We work with professional drivers and have 24/7 customer care.
-Arriving at your destination Get to your destination quickly and safely – no long lines for a taxi, no navigating public transit","Toll Plaza Fee
Bottled water
Air-conditioned vehicle
Gratuities
Parking Fees",,"Wheelchair accessible
Infants and small children can ride in a pram or stroller
Public transportation options are available nearby
Transportation options are wheelchair accessible
All areas and surfaces are wheelchair accessible
Not recommended for travelers with poor cardiovascular health
Suitable for all physical fitness levels
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book.
Operated by Jesse",,"Dalat, Dalat",Free cancellation available,"Dalat, Dalat",,,"https://r-xx.bstatic.com/xdata/images/xphoto/max1200/396106084.jpg?k=f67d6a20d68af53798e003c460d13165227af6f42653588a2697eebd2a0efd1c&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/396106131.jpg?k=c95ec0441280debdd9e05c12c3bcf5d8b59e57904f97d9d6154735ed4f92a532&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/396106165.jpg?k=c21b0d039879bfc8699418770738b9fb1d221de608c4050b5738a0a848af9a54&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/396106207.jpg?k=5db4c7185717c12350e53796a11c88907c96780d07a2552d41d7c93758dceba3&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/396106246.jpg?k=10cdd2ef9582fe1129068638211be3310d9bc059aaaf35836f76b557aa617329&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/396106283.jpg?k=7701080df3253348b7d80e31a1d6caef8979ac99a236cd49cd9918b95700857a&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/396106344.jpg?k=d9a44c2eb4aa6cb4b49cd88a8f455ee86ade349d2a858d5ef346f093dcec3141&o=",https://www.booking.com/attractions/vn/prdhfvtfldsb-nha-trang-to-da-lat-private-transfer.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Private tour - Cruise Terminal Half Day Nha Trang city.,3,2,"- Spending around 4 hours exploring Nha Trang City.
- Enjoying your travel by joining in the haft day Nha Trang city excursion. Within 4 hours, on this tour you will have chance to experience a series of important cultural and landmarks, including Oceanographic institute, Champa Po Nagar temple, Long Son Pagoda, Dam Market, and Chong Promontory
. Explore about the culture of Viet Nam by religion, cultural, and the anual life of us.
. Visit five most famous places in the city.
. Enjoy Vietnamese coffee at a local cafe or local food - Nem Nuong
. Choice the time to departure your trip.
. Including air-conditioned vehicle with pick-up and drop-off.
. Flexibility to customize your itinerary to your own preferences.","Private transportation
English local guide
Bottled water
entrance's fees.
Insurance
You can enjoy the traditional coffee of Viet Nam and felling the beauty of natural or enjoy Nem Nuong - this is a local food, and It is very famous food in Nha Trang",,"Infants and small children can ride in a pram or stroller
Not recommended for pregnant travelers
Suitable for all physical fitness levels
-Nha Trang has 2 places to stop for Cruise: Cau Da port and Cam Ranh habor. If your ship stops at Cam Ranh, guest will buy the bus ticket to go to the center, and we will pick you up at the bus stop with the signboard. Please send your what'app number, we will contact with you via what'sapp or email.
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Tam Thanh Quang Travel",,Citadines Bayfront,Free cancellation available,"Cầu Đá, Vĩnh Nguyên, Cầu Đá, Nha Trang","Total Duration: How do I book a ticket?

","Type: Senior (age 60-99) | Price: US$60
Type: Adult (age 20-59) | Price: US$60
Type: Child (age 4-7) | Price: US$60
Type: Infant (age 1-3) | Price: US$0
Type: Child (age 8-19) | Price: US$0","https://q-xx.bstatic.com/xdata/images/xphoto/max1200/361936310.jpg?k=6c973c7cdf6e8ae1daf2b78609c61307db84344471ec3094b476a88327800be0&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/253200595.jpg?k=7042c4f419792fcbe80af536084d209fa073510519ff1f082bbe85ab229bcd64&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/253200689.jpg?k=fd558dba645918a07c36d3738407de4494b3a775d83f0eb908412d0c2356b4a6&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/253200735.jpg?k=a10aa38700366046590dbc40b142e537a33fdf77605b38c87079fa59adc42960&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/253200758.jpg?k=993080779803d435cb7c923586d8d26c98f547c07d4b9b0893e7bf85290baaf5&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/253200853.jpg?k=841f90c69513b85d00ccc0c0afbd827e89fd0184c0504145a072e8aaaeec859a&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/351005305.jpg?k=29c11d95f6e03b512a01baed9641aefd7db14e76bdbedcd37db15f86c16cc027&o=",https://www.booking.com/attractions/vn/prdj8lcbrhlz-private-tour-cruise-terminal-half-day-nha-trang-city.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Discovery Scuba Diving on Hon Mun Island in Nha Trang,5,8,Enjoy an amazing diving experience open to everybody from 10 years old and up. This course is done in a small-group setting with a maximum of 2 people per instructor. You will learn the basics of scuba diving and have a great time.,"Hotel pickup and drop-off
Buffet lunch
Breakfast
All taxes, fees, and handling charges
Beverages",,"Not recommended for travelers with poor cardiovascular health
Not recommended for pregnant travelers
Travelers should have at least a moderate level of physical fitness
Vegetarian option is available; please advise at time of booking if required
Thank you for booking! Information according to your pick up you will receive shortly.
If you have any additional questions please call us and provide your booking number.
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Vietnam Active - PADI Dive Center & Snorkeling",,,Free cancellation available,,,"Type: Adult (age 18-60) | Price: US$85
Type: Child (age 7-17) | Price: US$85
Type: Senior (age 61-99) | Price: US$85
Type: Child (age 2-6) | Price: US$85","https://q-xx.bstatic.com/xdata/images/xphoto/max1200/184107872.jpg?k=763d7b8a870610f868acd6c10708661748dce1ffbbfd8c8c068bb91dcbdbd025&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/184107892.jpg?k=92f03e7f8552d721058a26c58a681bfb966c0bbbd3f2571f1f7070c9386e5963&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/184107927.jpg?k=86390549798bff9730dff9db8c3be576be889f30492769972583c08e556c5bfd&o=",https://www.booking.com/attractions/vn/pr3axti6fwa0-discover-scuba-diving-on-hon-mun-island-in-nha-trang.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Nha Trang 3 Island VIP Tour,4.5,2,"Nha Trang is an island paradise for individuals who enjoy the warm environment, playing in the blue water waves of the huge ocean, and exploring the wonders of the sea. You may swim on Hon Mieu Island in Nha Trang Bay, soak in hot mineral mud on Hon Tam Island, see calm coastal fishing communities, and swim in refreshing sea water with mild sunlight on the pristine island.","Lunch
Speedboat
Hotel pick up & drop off in central of Nha Trang city
English speaking tour guide
Mud Bath in a private bath-tub",,"Not recommended for travelers with spinal injuries
Not recommended for pregnant travelers
Not recommended for travelers with poor cardiovascular health
Travelers should have at least a moderate level of physical fitness
Dress code is smart casual
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Nha Trang Daily Tours",,,Free cancellation available,,"Total Duration: How do I book a ticket?

",Type: Adult (age 6-80) | Price: US$52,"https://r-xx.bstatic.com/xdata/images/xphoto/max1200/364417978.jpg?k=216cb354c703949035876c9ca5279297ffde807710215cbdbdda5530f70b8fcc&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/339779284.jpg?k=1296531bf91adaf90616605dd1797be94136ee83c5438490d550374b74d03cff&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/339779432.jpg?k=4dfccd93cc89a011e9fc753a15893c89488e3f096a127003bdacc6cab1e7c01d&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/364417991.jpg?k=6b77535471878b9660a778660b503467358440b790c843de2487aa0cc37fb7b1&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/364418005.jpg?k=b22828f1a45e9007d5c3ad0ead06378c93db1163c04c7de92d39be1c20d0f161&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/364418037.jpg?k=f6e26730473357edfac1ead3e9de346544505e7028f456ca07ce63c137f5de25&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/364418045.jpg?k=8efa9e503b363f6ebfe3d188316bfd5e357c941aaefa5214c2572d9388801909&o=",https://www.booking.com/attractions/vn/prpsal8wxytp-join-group-tour-nha-trang-snorkeling-included-lunch-onboard.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
Nha Trang Highlights and Da Lat 5 Days Package Tour,,,"5 days with all Enjoyment of our premier service with the private tour to visit 2 cities of Nha Trang and Dalat with 2 contrast pictures; Embark on an exhilarating 4 islands boat tour and indulge in a delightful buffet lunch at Vinpearl land (Vin Wonder), a pristine paradise in Nha Trang city, Vietnam. Immerse yourself in the stunning coastal scenery, explore the island's hidden gems, and savor a delectable spread of Vietnamese and international cuisine.
Set your lifetime experience with us and enjoy our one of best beach city in Vietnam and the one in 29 best bay in the world.","Air-conditioned vehicle
Lunch
Use of Snorkelling equipment
Breakfast
Licensed Tour Guide",,"Public transportation options are available nearby
Infants are required to sit on an adult’s lap
Not recommended for travelers with spinal injuries
Not recommended for pregnant travelers
Not recommended for travelers with poor cardiovascular health
Travelers should have at least a moderate level of physical fitness
Our driver will be holing a card with your name on it after arrival luggage room. If you do
not find him, please call our hotline.
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Asia Pearl Travel Day Tours",,,Free cancellation available,,,"Type: Adult (age 9-99) | Price: US$245
Type: Child (age 4-8) | Price: US$189
Type: Infant (age 0-3) | Price: US$0","https://q-xx.bstatic.com/xdata/images/xphoto/max1200/421260770.jpg?k=cc63c34129f0b5a2d376d0ce930a778a2751e106f49e9be0c1e1101a84ed3f91&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/421260776.jpg?k=2d5f2b09c16ade4efcecc132d9741e9f27fb637e0603a12da8811ff9da8fffc3&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/421260781.jpg?k=d651ca16d3302dfddf27c8fbc697522e094d93be428e8334ed63e14b7da9820c&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/421260788.jpg?k=28b263fc1f32a69ead5ddcbe9fd52632890cc3aed8b00417cb163826e400e456&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/421260797.jpg?k=c217735e7126e06f01df7e370b78766487c0050db1e3456ec79cc075b12ccbdb&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/421260800.jpg?k=d57670e89a9c49ed0b8788c884039c19248e5dec9d2735983ea932d58a519ff7&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/421260807.jpg?k=724c6fe29c2f9026b241ae038b45ea4a70295e804ef8bb57cdbebff6fc9e8acf&o=",https://www.booking.com/attractions/vn/prd5qvbugtah-nha-trang-highlights-and-da-lat-5-days-package-tour.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
"Mud Bath, Coral Reef Snorkeling and Floating Bar From Nha Trang",,,"Discover the marine life at Coral Reef and enjoy mud bath experience at Hon Tam Merperle. In addition, visitors can participate in many sea activities such as giant water slides, SUP, floating bar with cocktails and fruits, enjoying music vibes with professional band and more!","Cookies and tea
Round-trip transfers to and from your hotel
Floating bar with cocktails & fruits
Have lunch in restaurant with city views, local specialty, seafood, …
Use of Snorkelling equipment
Tour Guide
Giant water silde, SUP,…
Live performance music show
coffee, hot noodle soup (available from 01/01/2025)",,"Public transportation options are available nearby
Infants are required to sit on an adult’s lap
Suitable for all physical fitness levels
Hotels located in Nha Trang city center (free)
Cam Ranh, Ninh Hoa (Surcharge)
Not wheelchair accessible
Please bring your ticket with you to the attraction.
Be aware that operators may cancel for unforeseen reasons.
You need to be 18 years or older to book or be accompanied by an adult.
Operated by Tour Yolo exploring sea and island, snorkeling, water sport game, music liveshow From Nha Trang",,"Bến Tàu Du Lịch Nha Trang, Võ Thị Sáu 388, Nha Trang",Free cancellation available,"Bến Tàu Du Lịch Nha Trang, Võ Thị Sáu 388, Nha Trang","Total Duration: How do I book a ticket?

",,"https://r-xx.bstatic.com/xdata/images/xphoto/max1200/428892206.jpg?k=119c5e9d0585bc24844ddc8a157ac3201487c1987c5fddd584b88c7df86b6940&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/428892237.jpg?k=15c9e21af9ebdaf4601e6bb0f90e204e1da181bb01c54c281d75561d28892a1e&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/428892253.jpg?k=396bc866725a16b1d1f13f4c2656f2a2c2cbfe5a3d16bfa95b571da4e93a149f&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/428892266.jpg?k=1e64833f953fa9c319e0ccd7114a81d017b619cace9a00937298de079ce8fbd3&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/428892281.jpg?k=b44e2b2ad7a280149f0e3c8e4590c32319c5601e08c47f64f7f202349ea89f43&o=, https://r-xx.bstatic.com/xdata/images/xphoto/max1200/428892303.jpg?k=3e6e8841fc3ec89f99c6d365ac36cdd661734673c5bcff35e0659465052b99df&o=, https://q-xx.bstatic.com/xdata/images/xphoto/max1200/428892326.jpg?k=8877f4415a93e94a0a13a31fcf55d494ba218154ec3d4bc636e21c0c6af4efbb&o=",https://www.booking.com/attractions/vn/pre1uuknttkm-mud-bath-coral-reef-snorkeling-and-floating-bar-from-nha-trang.en-gb.html?adplat=www-searchresults_irene-web_shell_header-attraction-missing_creative-7lBbAoS5PZVjU6ubKQ1ScO&aid=304142&client_name=b-web-shell-bff&distribution_id=7lBbAoS5PZVjU6ubKQ1ScO&source=searchresults-product-card&ufi=-3723998,2025-01-03T08:12:21.209Z,2025-01-03T08:12:21.209Z
